feature,importance
RHIRGA336.mean,0.017945407146966474
RHIRGA84.mean,0.01788059044365853
RHIRGA672.mean,0.01696859961039146
RHIRGA504.mean,0.01587574464534359
RHIRGA168.mean,0.015489966517686768
RHIRGA168_cv,0.015242901093228923
RHIRGA42_cv,0.015171155105255001
RHIRGA672_cv,0.014926952576188026
RHIRGA84_cv,0.014291064434494308
RHIRGA42.mean,0.013574161372962707
RHIRGA336_cv,0.01259587654661046
H2O672.mean,0.012200159668497731
RHIRGA504_cv,0.012012073603529377
NET.mean,0.011814599650925808
Glob.mean,0.011803019215328538
H2O336.mean,0.011766474617407627
Glob.std,0.011677977625328566
PAR.mean,0.011490574364385362
H2O504.mean,0.011426920028568826
RHIRGA42.std,0.01139028148409903
H2O84.mean,0.011276214610441173
PAR.std,0.010598194002068276
RHIRGA168.std,0.010326939681656074
RHIRGA504.std,0.010262134489266411
H2O168.mean,0.010252327071148828
H2O42.mean,0.009686135157814923
NET.std,0.009557215139686822
RHIRGA336.std,0.009530733476520552
RHIRGA84.std,0.009495735894875363
UV_A.mean,0.009439888656082446
stds_mean,0.00919907923486159
UV_A.std,0.008836745383994217
CS.mean,0.008627701064755978
means_mean,0.008605020903712108
RGlob.std,0.008280482543448405
RGlob.mean,0.007740587340617002
T168.std,0.007676964695258277
RHIRGA672.std,0.007591796191405417
T84.std,0.007476729726904122
PTG.std,0.006869475990681476
UV_B.std,0.0068659759438422455
CS_cv,0.006803969263022889
RPAR.mean,0.006775328007061721
CO2504_cv,0.006579406778966707
CO2504.std,0.006573012027261124
UV_B.mean,0.006524363933984762
CO2336.mean,0.006448873487462503
RPAR.std,0.006314904097071487
T168.mean,0.006289728286093328
T504.std,0.006283250481830445
CO2336.std,0.006225314138118263
T42.std,0.0061603240272477084
T672.std,0.006072706401803395
CO242_cv,0.005947823426544725
T672.mean,0.005930470832118974
CO2504.mean,0.005897723642793493
CO242.std,0.0058967450854276685
CO2168.mean,0.0058609479310828185
T84.mean,0.005840183521150623
Glob_cv,0.005776266308373886
CO2168.std,0.005774090335704116
NET_cv,0.0056989966069170206
CO242.mean,0.0056951648562721825
CO2336_cv,0.005642055207012013
SWS.mean,0.005534188694934816
PAR_cv,0.005500917187568919
T42.mean,0.0054564568022045
CO2168_cv,0.005416538636616102
Pamb0.mean,0.005392323648274309
UV_A_cv,0.005358957046988092
T504.mean,0.005332129839766607
Pamb0_cv,0.005303896227438316
PTG.mean,0.005244939912798821
SO2168.mean,0.005141786998186448
NOx168_cv,0.005044590835329336
T84_cv,0.004988624414816484
Pamb0.std,0.00496632675600148
CS.std,0.004955856898747881
NOx84.mean,0.004941075328403227
T168_cv,0.004939016044689619
NOx504_cv,0.00492423710294867
NOx504.mean,0.004918763073354921
H2O42_cv,0.0048599270070305445
NOx42_cv,0.004851519834976842
RPAR_cv,0.004841537256367903
T42_cv,0.004831882203195919
SO2168_cv,0.004827280490999087
H2O168_cv,0.004800957881945769
NOx168.mean,0.004784102549139815
H2O84_cv,0.004751958096388668
O384.std,0.004730517541799874
NO504_cv,0.004723531259546537
NOx672_cv,0.004712766065879474
NOx42.mean,0.004709507980770635
NOx336_cv,0.004704775943324712
O3672.mean,0.004677636992131977
O342_cv,0.004669462415419036
H2O672_cv,0.004660610751288763
H2O504_cv,0.004657404424132438
T504_cv,0.004616806478109856
NOx672.mean,0.0046161595805542565
O3168.mean,0.004614927239359567
NOx336.mean,0.004604444344939867
SO2168.std,0.004594265209886904
O384.mean,0.0045895718283921715
O3504.std,0.004585044394946205
NO672.std,0.0045846848576915405
PTG_cv,0.0045373940288407555
UV_B_cv,0.00450837890481178
O3168.std,0.004500263632726334
O342.mean,0.00446164676014908
O3504.mean,0.004460964347198526
T672_cv,0.004460154070444943
O3672.std,0.004443696775331244
NOx672.std,0.0043947890860902864
NO504.std,0.00437141667730715
NO168.mean,0.004362795712768426
NO336.std,0.0043551526055116835
RGlob_cv,0.0043323112863117175
H2O336_cv,0.004317991446395571
SWS.std,0.004313651074306518
O3504_cv,0.004292314484804708
NOx336.std,0.004283791522331042
O342.std,0.004272494995908043
NO42.mean,0.004268414180282417
O384_cv,0.004256819809295408
NO42_cv,0.004243223451989252
O3168_cv,0.004211714890928154
NO84.mean,0.004184075962073139
NOx504.std,0.004163935274950553
NOx84_cv,0.004125361307890559
H2O42.std,0.004067922524058267
NO672_cv,0.00406619531236569
NOx42.std,0.004039632583525154
NO42.std,0.004019330022563085
NO336.mean,0.004007590852306453
NOx168.std,0.003975210704926632
NO168.std,0.003968930305540533
NO168_cv,0.0039440068030280094
NOx84.std,0.003921496513392242
H2O672.std,0.003916375063335746
SWS_cv,0.0039075307697974005
O3672_cv,0.003867320286563836
NO672.mean,0.003804440915670128
H2O336.std,0.003773689991375612
NO504.mean,0.0037446427269982375
H2O84.std,0.003740704214909318
H2O168.std,0.0036382882037125797
NO84.std,0.0036127381043838287
NO336_cv,0.0034589942003335553
H2O504.std,0.0034451971234237375
NO84_cv,0.0032428767786351416
