feature,importance
RHIRGA84.mean,0.0254934859200233
RHIRGA504.mean,0.023659326607750154
RHIRGA168.mean,0.023112843960359394
RHIRGA672.mean,0.022574663924689972
RHIRGA336.mean,0.02250598732823561
Glob.mean,0.021725848271233805
RHIRGA42.mean,0.020388776120321573
NET.std,0.01669635622675742
RHIRGA504.std,0.016496827498936873
PAR.mean,0.016353281483470913
RHIRGA84.std,0.016072005589356893
H2O42.mean,0.015358742850592291
H2O504.mean,0.015336804398345047
H2O336.mean,0.01531531850279642
RHIRGA42.std,0.01529830130221012
H2O84.mean,0.014754558949382967
H2O672.mean,0.014750822113643442
RHIRGA168.std,0.014716850300200632
UV_A.mean,0.014511310369620811
H2O168.mean,0.014458091362359511
PAR.std,0.013518384131833334
RHIRGA672.std,0.013106320991246635
RGlob.mean,0.012755822846922879
Glob.std,0.012459574870883297
RHIRGA336.std,0.012449619141293517
CS.mean,0.012080226602998914
RGlob.std,0.011811639386119389
UV_B.mean,0.01157518770030917
UV_A.std,0.011416107812832976
NET.mean,0.01114418759016892
T168.std,0.010683870268951816
RPAR.mean,0.010173388251963449
CO2504.std,0.010121384764533241
T42.std,0.009885852996288715
RPAR.std,0.00966880123419756
T84.std,0.00954471589701543
T504.std,0.009189383031286899
T672.mean,0.009017126617027575
CO242.std,0.008979880666354956
CO2336.mean,0.00886147379169934
CO2168.mean,0.00879940078173913
CO2336.std,0.008760463044370738
CO2504.mean,0.008682821632756792
PTG.std,0.008655440058798675
CO2168.std,0.008570737356335352
UV_B.std,0.008442371866643109
T168.mean,0.008333524157416833
T672.std,0.008324847414233836
T504.mean,0.008214550224302149
T42.mean,0.00813609467102416
Pamb0.mean,0.008098420540658765
T84.mean,0.008074217700655683
CO242.mean,0.00801571207631084
NOx504.mean,0.007834367157220867
NOx42.mean,0.007795612537390256
NOx84.mean,0.0077853918762082665
NO672.std,0.0077516107948823396
O3672.mean,0.007687891094323549
NOx672.mean,0.007682796983526717
O384.mean,0.007640827713737646
SWS.mean,0.007630389248325087
PTG.mean,0.0076238509984534585
Pamb0.std,0.00756770400516659
SO2168.mean,0.007471525029664626
O3168.std,0.007281470161619547
O342.mean,0.007210468775781257
NOx336.mean,0.007025303665415348
NOx168.mean,0.006982040041403114
NO336.std,0.006849308711567676
CS.std,0.006833480413476673
SO2168.std,0.006822914176345762
NO84.mean,0.006798499176217738
NO168.mean,0.006755516993084424
O3504.std,0.006664369936537838
NO504.mean,0.006564773963995021
NO504.std,0.0065540161283959035
O3168.mean,0.006462341353991057
O384.std,0.006445910951601738
H2O504.std,0.006445581821013215
H2O672.std,0.0064449723066676064
O3504.mean,0.006437498119420242
SWS.std,0.006348042905892174
H2O168.std,0.006336995951785415
O342.std,0.00631087613458616
NO42.mean,0.006260952402718587
H2O336.std,0.006208693336651946
NOx336.std,0.006168481791583533
NO168.std,0.0061411554061902565
O3672.std,0.006135783379542494
NOx672.std,0.00611673835818694
NOx168.std,0.005952650872015377
NO336.mean,0.0058991450423140435
H2O42.std,0.005891096798145567
NO672.mean,0.005853724073840955
NOx504.std,0.005844279332212373
NOx84.std,0.005810533901637318
H2O84.std,0.005789594917969388
NOx42.std,0.005677092323214814
NO84.std,0.005619310467909236
NO42.std,0.005452665268708641
